,Incident Zip,new_set,description
8,54901,M_A  ,https://www.unitedstateszipcodes.org/54901/#stats
20,54902,M_B  ,https://www.unitedstateszipcodes.org/54902/#stats
28,54904,M_A  ,https://www.unitedstateszipcodes.org/54904/#stats
32,54914,M_B  ,https://www.unitedstateszipcodes.org/54914/#stats
35,54915,M_A  ,https://www.unitedstateszipcodes.org/54915/#stats
36,54915,M_B  ,https://www.unitedstateszipcodes.org/54915/#stats
38,54923,M_B  ,https://www.unitedstateszipcodes.org/54923/#stats
39,54937,M_A  ,https://www.unitedstateszipcodes.org/54937/#stats
40,54940,F_H  ,https://www.unitedstateszipcodes.org/54940/#stats
41,54940,M_A  ,https://www.unitedstateszipcodes.org/54940/#stats
42,54947,M_A  ,https://www.unitedstateszipcodes.org/54947/#stats
49,54952,M_A  ,https://www.unitedstateszipcodes.org/54952/#stats
59,54956,M_A  ,https://www.unitedstateszipcodes.org/54956/#stats
66,54963,M_B  ,https://www.unitedstateszipcodes.org/54963/#stats
67,54963,M_U  ,https://www.unitedstateszipcodes.org/54963/#stats
68,54964,F_D  ,https://www.unitedstateszipcodes.org/54964/#stats
69,54964,F_F  ,https://www.unitedstateszipcodes.org/54964/#stats
70,54964,F_H  ,https://www.unitedstateszipcodes.org/54964/#stats
71,54964,F_U  ,https://www.unitedstateszipcodes.org/54964/#stats
72,54964,M_A  ,https://www.unitedstateszipcodes.org/54964/#stats
73,54971,M_A  ,https://www.unitedstateszipcodes.org/54971/#stats
74,54980,M_B  ,https://www.unitedstateszipcodes.org/54980/#stats
79,54986,M_B  ,https://www.unitedstateszipcodes.org/54986/#stats
